,video_id,channel_id
16,U7pzUOdzYYk,No Data
17,Fmx-IEa83JU,No Data
18,U9Tkv9FjyNw,No Data
19,NwkoKEOUYaA,UCPs6BouVj4Gl96zGwwzSWJg
20,T17xaPhX5dU,UCQugJQxWxs2cM8w_IPuMaXw
21,2X6O10gGfzQ,UCCD76tKlE45u1YTX0cVh1OQ
22,wbSwFU6tY1c,UCtI0Hodo5o5dUb67FeUjDeA
23,48bqj6TqVms,UCFDEkoNJ4e1VH6A6SUk9N4g
24,k8Bt_phVS5Y,No Data
25,oXd60ArCFrE,UCynIYcsBwTrwBIecconPN2A
26,4WFStwCSdqM,UCDE_gujqIP9wEBZy0lVH_8Q
27,Iaafx-x9T6E,No Data
28,H9KIeijkNTc,UC5Tk1JEutSTmswO7dm6_jNg
29,h5isK6A2giQ,No Data
0,KqtWo-4A0LU,No Data
1,J156zfTzMTM,No Data
2,4lISApbG9Ek,UCK7olrAXy2LFsBtVx9g9xjA
3,y4Id2KGDbb8,UCQ5URCSs1f5Cz9rh-cDGxNQ
4,AlI4Q_Pe3BI,No Data
5,palw25wDVnA,UCynURu72A71GmEVQcsZXcKQ
6,_vXYt1zQLqA,No Data
7,9vfxkTTSKJ4,UCNcQkRqY3_Ozcnlo6STqlAQ
8,V1YAomM4_G4,UCltkdBboJUT4cX1LFIp7-_Q
9,9H3LBeqxT8c,No Data
10,dol3ryJcsio,No Data
11,VAL1khzhGQw,UCoh_z6QB0AGB1oxWufvbDUg
12,D3UgKhoZbSI,UCfodSug0zXKfd8HpSay9JBg
13,8TGSLIjeKnw,No Data
14,5ugKfHgsmYw,UCNLxBzguoGLqXWA8_BtHSHA
15,HaZzVUBlEGE,UCRVruzlQF5cqpw9jQgIgNdw
16,J_loNEewV8s,No Data
17,QghTQMLZvTo,UCGCZAYq5Xxojl_tSXcVJhiQ
18,RdveHyJ7kjk,UCucL8Ib4JOigpW0pgjI46xA
19,LTDy5e1W_GU,No Data
20,Wb2TT6X0CKc,UC-uIxqs8YBuqzgUSnL0TzYw
21,jfeKoBCmBRc,No Data
22,kpeCmYPB9e8,No Data
23,j4Y_pS5ha3A,No Data
24,MnQYdnYWCPQ,UC0e87WXu_SJhrc8tb08qyaQ
25,J5T6Y4YDkGg,UCgQqn8qDKhFz7QGLg_vFDvQ
26,DHEgmES0HfU,UCv2ejD5B1xOYtGB2cf80B8g
27,0ovTFlKXcy0,No Data
28,7UQSgAjKYdk,UCLYlpN8yN536YoJd6FtiKwg
29,3Xn7nGqiJCU,UCMtFAi84ehTSYSE9XoHefig
0,U7pzUOdzYYk,No Data
1,Fmx-IEa83JU,No Data
2,U9Tkv9FjyNw,No Data
3,NwkoKEOUYaA,UCPs6BouVj4Gl96zGwwzSWJg
4,T17xaPhX5dU,UCQugJQxWxs2cM8w_IPuMaXw
5,2X6O10gGfzQ,UCCD76tKlE45u1YTX0cVh1OQ
6,wbSwFU6tY1c,UCtI0Hodo5o5dUb67FeUjDeA
7,48bqj6TqVms,UCFDEkoNJ4e1VH6A6SUk9N4g
8,k8Bt_phVS5Y,No Data
9,oXd60ArCFrE,UCynIYcsBwTrwBIecconPN2A
10,4WFStwCSdqM,UCDE_gujqIP9wEBZy0lVH_8Q
11,Iaafx-x9T6E,No Data
12,H9KIeijkNTc,UC5Tk1JEutSTmswO7dm6_jNg
13,h5isK6A2giQ,No Data
14,KqtWo-4A0LU,No Data
15,J156zfTzMTM,No Data
16,4lISApbG9Ek,UCK7olrAXy2LFsBtVx9g9xjA
17,y4Id2KGDbb8,UCQ5URCSs1f5Cz9rh-cDGxNQ
18,AlI4Q_Pe3BI,No Data
19,palw25wDVnA,UCynURu72A71GmEVQcsZXcKQ
20,_vXYt1zQLqA,No Data
21,9vfxkTTSKJ4,UCNcQkRqY3_Ozcnlo6STqlAQ
22,V1YAomM4_G4,UCltkdBboJUT4cX1LFIp7-_Q
23,9H3LBeqxT8c,No Data
24,dol3ryJcsio,No Data
25,VAL1khzhGQw,UCoh_z6QB0AGB1oxWufvbDUg
26,D3UgKhoZbSI,UCfodSug0zXKfd8HpSay9JBg
27,8TGSLIjeKnw,No Data
28,5ugKfHgsmYw,UCNLxBzguoGLqXWA8_BtHSHA
29,HaZzVUBlEGE,UCRVruzlQF5cqpw9jQgIgNdw
0,J_loNEewV8s,No Data
