,channel_id,subscriber_count
5,UC9lGDYAowYIQCwXnTRv3meg,1520
6,UCVMvBhhCs_jZTGlHFI6Fh7w,298000
7,UCuzZthEW8I4DIcffs-T_46Q,14300
8,UCMcWosflbve0JX78FFdJcCA,70700
9,UCrPG99iyp64FDF8MrB9uVPA,339
10,UCutJqz56653xV2wwSvut_hQ,5390000
11,UCgMPP6RRjktV7krOfyUewqw,8710000
12,UCfVqLqmH2M9V-jlxGipZSGA,2370
13,UCQUdNis13Y2bXiV7fssSNCg,685000
14,UCroloVlHKUnvOMn5MtuvyDg,422000
15,UCibEhpu5HP45-w7Bq1ZIulw,6280000
16,UCgOfjIl0I_oG7VxIoaKaRsw,1140000
17,UCRVruzlQF5cqpw9jQgIgNdw,756000
18,UCx2eWrQGKO2IvTVjho3BeKw,3210
19,UC3wEaRK3h93UehXbg9YRcmQ,104000
20,UCxpIo6FFB7gMQz2Fy2X8XdQ,357000
21,UCUndCm0YDFKtKHNDvG2cE2Q,33500
22,UCfodSug0zXKfd8HpSay9JBg,374000
23,UCIRfNQcAO0Te-3abudINbJA,6590
24,UCpOjLndjOqMoffA-fr8cbKA,4340000
25,UCzXjPL7zo0bxhOYDxLJ9YEg,2840000
26,UCRgOqI54g1VqnQnwIB6WPSA,201000
27,UCSeDpnnXFVbLEbbvFvEEqKA,224000
28,UClX3YSREJp3ELuv2wFAYOzA,1280000
29,UCyo6aLuDHbUoNTv-NR-Y0NA,1010000
0,UCXteDRy5qB0IjA8WPusCJ7w,1090000
1,UC1pHFqCMAIHP8gr4lYGtNLA,3820000
2,UCLO1yCo0gDgpXhyM0fXfXXA,257000
3,UCJk8dZsM8SIGzIBJ-rDcB3Q,579000
4,UC2hA-6M66dE2Tt_4xM8K9wQ,68800
5,UCY5fcqgSrQItPAX_Z5Frmwg,1030000
6,UCGbOTPDlBwkN-4N85dK6U7Q,231000
7,UCaT2L0VybZmhQNbrr4gwnTQ,25900
8,UCqAbcgEp4NqCRnLG3NVJezw,310000
9,UCG4fqU419F_vnBkIfSyR9Yg,426000
10,UCl2aT0nRejTCQO_LHZAftBw,4010000
