,video_id,channel_id
292,MnQYdnYWCPQ,UC0e87WXu_SJhrc8tb08qyaQ
293,J5T6Y4YDkGg,UCgQqn8qDKhFz7QGLg_vFDvQ
294,DHEgmES0HfU,UCv2ejD5B1xOYtGB2cf80B8g
296,7UQSgAjKYdk,UCLYlpN8yN536YoJd6FtiKwg
297,3Xn7nGqiJCU,UCMtFAi84ehTSYSE9XoHefig
301,NwkoKEOUYaA,UCPs6BouVj4Gl96zGwwzSWJg
302,T17xaPhX5dU,UCQugJQxWxs2cM8w_IPuMaXw
303,2X6O10gGfzQ,UCCD76tKlE45u1YTX0cVh1OQ
304,A04PARdtEss,UCad4VUyyzWqenlkjfCTQ47A
305,S-xBo-o6Ky0,UCrPG99iyp64FDF8MrB9uVPA
308,hNg2uOe28ak,UCXteDRy5qB0IjA8WPusCJ7w
309,VV7LMEbd1Es,UC14QT5j2nQI8lKBCGtrrBQA
312,sC32d0BmcJk,UCrR3bHE6ZJ30YUUTl-G2RVg
313,W9g0-vPBkXc,UC3wEaRK3h93UehXbg9YRcmQ
314,bAjxXtN81n8,UCJk8dZsM8SIGzIBJ-rDcB3Q
315,UaGK8MCVZyE,UCMo5MECD5pwhUVLaMqZo5Xg
317,ishsnPy0XOU,UCIfuY0NRq1szr_6tzFy23NQ
318,z0RPAaITyyg,UCSkLRGGIGKOtinamhcy_42g
320,Hv18-l6kESg,UCljYHFazflmGaDr5Lo90KmA
321,YkGeOCP0JgU,UCG4fqU419F_vnBkIfSyR9Yg
324,rskvlVMoYZE,UCqly9F4Fr_jf2Y1Cy5hacRg
327,wIdrjXroKC0,UC4QadOSsJu54Qs8z99shRiQ
329,6qT5wAc3fEY,UC499RUHBCxesTo_ppKPlfhg
331,_tjVER3BDW8,UCQBG3PzyQKY8ieMG2gDAyOQ
332,_j2MiTRDkuY,UCWbB8rGkcOc58YYS0QaCG3w
333,3p7W5r4t3As,UCR1zT1s524Hbc85bdvno_8w
334,rmON2pSUdqM,UCQ3Kgx1G1NkELoJ8tJ3uelg
337,eMONEl5YQxQ,UCyo6aLuDHbUoNTv-NR-Y0NA
341,04YcnWKdOb0,UC0e87WXu_SJhrc8tb08qyaQ
342,x2Sp2ARYcSY,UC_giNzXnIMihPb8ERG_4kSw
